Precision,Recall,Threshold
0.016691124,0.999973164,4.03924E-12
0.016706105,0.999973164,4.20592E-12
0.016721105,0.999973164,4.38227E-12
0.016736133,0.999973164,4.56562E-12
0.01675121,0.999973164,4.75814E-12
0.016766284,0.999973164,4.96163E-12
0.016781393,0.999973164,5.16181E-12
0.016796537,0.999973164,5.36904E-12
0.016811708,0.999973164,5.59041E-12
0.016826892,0.999973164,5.80796E-12
0.016842125,0.999973164,6.0442E-12
0.016857371,0.999973164,6.2684E-12
0.016872637,0.999973164,6.50696E-12
0.016887931,0.999973164,6.74868E-12
0.016903252,0.999973164,7.0026E-12
0.016918609,0.999973164,7.26492E-12
0.016934017,0.999973164,7.53114E-12
0.01694943,0.999973164,7.81017E-12
0.016964887,0.999973164,8.09986E-12
0.016980348,0.999973164,8.40303E-12
0.016995838,0.999973164,8.71116E-12
0.017011356,0.999973164,9.02585E-12
0.017026902,0.999973164,9.35241E-12
0.017042477,0.999973164,9.67377E-12
0.017058095,0.999973164,1.00205E-11
0.017073751,0.999973164,1.03748E-11
0.017089419,0.999973164,1.07402E-11
0.017105109,0.999973164,1.11271E-11
0.01712085,0.999973164,1.1502E-11
0.017136597,0.999973164,1.18856E-11
0.017152405,0.999973164,1.22933E-11
0.017168242,0.999973164,1.27151E-11
0.017184092,0.999973164,1.31387E-11
0.017199956,0.999973164,1.3569E-11
0.017215849,0.999973164,1.40236E-11
0.017231788,0.999973164,1.44939E-11
0.017247748,0.999973164,1.4981E-11
0.017263729,0.999973164,1.54688E-11
0.01727974,0.999973164,1.59505E-11
0.017295789,0.999973164,1.64759E-11
0.017311876,0.999973164,1.6991E-11
0.017327993,0.999973164,1.75095E-11
0.017344132,0.999973164,1.80785E-11
0.017360301,0.999973164,1.86361E-11
0.0173765,0.999973164,1.92271E-11
0.017392761,0.999973164,1.98528E-11
0.017409029,0.999973164,2.04582E-11
0.017425328,0.999973164,2.10688E-11
0.017441648,0.999973164,2.17165E-11
0.017458008,0.999973164,2.23876E-11
0.017474398,0.999973164,2.30695E-11
0.017490802,0.999973164,2.37488E-11
0.017507246,0.999973164,2.44471E-11
0.01752372,0.999973164,2.51544E-11
0.017540226,0.999973164,2.59216E-11
0.017556763,0.999973164,2.6688E-11
0.017573356,0.999973164,2.75291E-11
0.017589955,0.999973164,2.8379E-11
0.017606602,0.999973164,2.92274E-11
0.017623281,0.999973164,3.00579E-11
0.017639983,0.999973164,3.08777E-11
0.017656717,0.999973164,3.17637E-11
0.017673491,0.999973164,3.26749E-11
0.017690288,0.999973164,3.36223E-11
0.017707143,0.999973164,3.46024E-11
0.017724013,0.999973164,3.55983E-11
0.017740898,0.999973164,3.66259E-11
0.017757815,0.999973164,3.7648E-11
0.017774808,0.999973164,3.87166E-11
0.017791798,0.999973164,3.98099E-11
0.01780883,0.999973164,4.09675E-11
0.017825877,0.999973164,4.2155E-11
0.017842957,0.999973164,4.33311E-11
