Precision,Recall,Threshold
0.017840181,0.999973164,1.61658E-07
0.01785728,0.999973164,1.63628E-07
0.017874411,0.999973164,1.65621E-07
0.017891576,0.999973164,1.67599E-07
0.017908774,0.999973164,1.69542E-07
0.017926004,0.999973164,1.71598E-07
0.017943268,0.999973164,1.73604E-07
0.017960565,0.999973164,1.75567E-07
0.017977896,0.999973164,1.77553E-07
0.01799526,0.999973164,1.79531E-07
0.018012657,0.999973164,1.81598E-07
0.018030088,0.999973164,1.83681E-07
0.018047553,0.999973164,1.85817E-07
0.018065052,0.999973164,1.8794E-07
0.018082585,0.999973164,1.90038E-07
0.018100152,0.999973164,1.92048E-07
0.018117762,0.999973164,1.94237E-07
0.018135397,0.999973164,1.96376E-07
0.018153067,0.999973164,1.98489E-07
0.018170771,0.999973164,2.00743E-07
0.01818851,0.999973164,2.02855E-07
0.018205795,0.999946329,2.05115E-07
0.018223602,0.999946329,2.07504E-07
0.018241445,0.999946329,2.09805E-07
0.018259322,0.999946329,2.12085E-07
0.018277235,0.999946329,2.14411E-07
0.018295183,0.999946329,2.16725E-07
0.018313166,0.999946329,2.19065E-07
0.018331184,0.999946329,2.21331E-07
0.018349238,0.999946329,2.23731E-07
0.018367328,0.999946329,2.26242E-07
0.018385453,0.999946329,2.28598E-07
0.018403614,0.999946329,2.3107E-07
0.018421811,0.999946329,2.33496E-07
0.018440044,0.999946329,2.36066E-07
0.018457818,0.999919493,2.38567E-07
0.018476123,0.999919493,2.40985E-07
0.018493968,0.999892658,2.4348E-07
0.018512345,0.999892658,2.45999E-07
0.018530759,0.999892658,2.48499E-07
0.018549209,0.999892658,2.50975E-07
0.018567696,0.999892658,2.53453E-07
0.01858622,0.999892658,2.56045E-07
0.018604781,0.999892658,2.58661E-07
0.018623379,0.999892658,2.61249E-07
0.018642015,0.999892658,2.63985E-07
0.018660688,0.999892658,2.66653E-07
0.018679398,0.999892658,2.69335E-07
0.018698145,0.999892658,2.72083E-07
0.018716931,0.999892658,2.74797E-07
0.018735754,0.999892658,2.776E-07
0.018754615,0.999892658,2.80395E-07
0.018773514,0.999892658,2.83313E-07
0.018792461,0.999892658,2.86078E-07
0.018811436,0.999892658,2.88927E-07
0.01883045,0.999892658,2.91813E-07
0.018849502,0.999892658,2.9475E-07
0.018868593,0.999892658,2.97631E-07
0.018887723,0.999892658,3.00619E-07
0.018906891,0.999892658,3.03478E-07
0.018926099,0.999892658,3.06454E-07
0.018945345,0.999892658,3.09518E-07
0.018964631,0.999892658,3.12572E-07
0.018983956,0.999892658,3.15607E-07
0.01900332,0.999892658,3.18674E-07
0.019022734,0.999892658,3.21755E-07
0.019041666,0.999865822,3.24858E-07
0.019061149,0.999865822,3.27869E-07
0.019080672,0.999865822,3.30993E-07
0.019100235,0.999865822,3.34111E-07
0.019119848,0.999865822,3.37266E-07
0.019139491,0.999865822,3.40512E-07
0.019159175,0.999865822,3.43668E-07
0.019178899,0.999865822,3.46928E-07
0.019198664,0.999865822,3.50249E-07
0.019218469,0.999865822,3.53531E-07
0.019238316,0.999865822,3.56881E-07
0.019258203,0.999865822,3.60213E-07
0.019278132,0.999865822,3.63416E-07
0.019298102,0.999865822,3.66855E-07
0.019318113,0.999865822,3.70173E-07
0.019338166,0.999865822,3.73669E-07
0.019358261,0.999865822,3.77082E-07
0.019378398,0.999865822,3.80501E-07
0.019398576,0.999865822,3.84052E-07
0.019418796,0.999865822,3.87606E-07
0.019439059,0.999865822,3.91052E-07
0.019459364,0.999865822,3.94733E-07
0.019479711,0.999865822,3.98354E-07
0.019500102,0.999865822,4.02196E-07
0.019520534,0.999865822,4.05926E-07
0.01954101,0.999865822,4.09576E-07
0.019561529,0.999865822,4.13227E-07
0.01958209,0.999865822,4.16877E-07
0.019602695,0.999865822,4.20552E-07
0.019623344,0.999865822,4.24261E-07
0.019644036,0.999865822,4.2786E-07
0.019664772,0.999865822,4.31602E-07
0.019685551,0.999865822,4.35363E-07
0.019706375,0.999865822,4.39125E-07
0.019727242,0.999865822,4.43016E-07
0.019748154,0.999865822,4.46838E-07
0.01976911,0.999865822,4.50828E-07
0.019790111,0.999865822,4.54877E-07
0.019811156,0.999865822,4.58731E-07
0.019832246,0.999865822,4.62641E-07
0.019853382,0.999865822,4.66601E-07
0.019874562,0.999865822,4.70649E-07
0.019895787,0.999865822,4.74638E-07
0.019917058,0.999865822,4.78831E-07
0.019938375,0.999865822,4.83058E-07
0.019959737,0.999865822,4.87017E-07
0.019981145,0.999865822,4.91157E-07
0.020002598,0.999865822,4.95331E-07
0.020024109,0.999865822,4.99707E-07
0.020045655,0.999865822,5.03896E-07
0.020067248,0.999865822,5.08262E-07
0.020088887,0.999865822,5.12428E-07
0.020110573,0.999865822,5.167E-07
0.020132306,0.999865822,5.21111E-07
0.020153545,0.999838987,5.25345E-07
0.020175372,0.999838987,5.29732E-07
0.020197245,0.999838987,5.34078E-07
0.020219167,0.999838987,5.38736E-07
0.020241136,0.999838987,5.43369E-07
0.020263152,0.999838987,5.47867E-07
0.020285228,0.999838987,5.52248E-07
0.020307341,0.999838987,5.56936E-07
0.020329502,0.999838987,5.61646E-07
0.020351711,0.999838987,5.66127E-07
0.020373969,0.999838987,5.70965E-07
0.020396276,0.999838987,5.75613E-07
0.020418632,0.999838987,5.80277E-07
0.020441048,0.999838987,5.85063E-07
0.020463502,0.999838987,5.899E-07
0.020486005,0.999838987,5.94753E-07
0.020508558,0.999838987,5.99634E-07
0.020531161,0.999838987,6.04276E-07
0.020553813,0.999838987,6.09422E-07
0.020576516,0.999838987,6.14483E-07
0.020599269,0.999838987,6.19471E-07
0.020622072,0.999838987,6.24503E-07
0.020644925,0.999838987,6.2962E-07
0.02066783,0.999838987,6.34702E-07
0.020690785,0.999838987,6.39703E-07
0.020713791,0.999838987,6.4485E-07
0.020736849,0.999838987,6.50118E-07
0.020759958,0.999838987,6.55378E-07
0.020783118,0.999838987,6.60781E-07
0.02080633,0.999838987,6.66043E-07
0.020829595,0.999838987,6.71188E-07
0.020852911,0.999838987,6.76664E-07
0.020876279,0.999838987,6.82368E-07
0.0208997,0.999838987,6.8798E-07
0.020923174,0.999838987,6.93688E-07
0.0209467,0.999838987,6.99189E-07
0.020970279,0.999838987,7.04921E-07
0.020993912,0.999838987,7.10603E-07
0.021017597,0.999838987,7.1647E-07
0.021041337,0.999838987,7.22163E-07
0.02106513,0.999838987,7.27787E-07
0.021088976,0.999838987,7.33637E-07
0.021112877,0.999838987,7.39317E-07
0.021136832,0.999838987,7.44954E-07
0.021160842,0.999838987,7.50649E-07
0.021184906,0.999838987,7.56432E-07
0.021209025,0.999838987,7.62401E-07
0.021233199,0.999838987,7.6827E-07
0.021257428,0.999838987,7.74422E-07
0.021281724,0.999838987,7.80664E-07
0.021306064,0.999838987,7.86682E-07
0.02133046,0.999838987,7.92843E-07
0.021354912,0.999838987,7.98819E-07
0.02137942,0.999838987,8.05261E-07
0.021403984,0.999838987,8.115E-07
0.021428029,0.999812151,8.17561E-07
0.021452718,0.999812151,8.23754E-07
0.021477452,0.999812151,8.30277E-07
0.021502242,0.999812151,8.3671E-07
0.02152709,0.999812151,8.43219E-07
0.021551996,0.999812151,8.49761E-07
0.021576959,0.999812151,8.56275E-07
0.02160198,0.999812151,8.62743E-07
0.021627059,0.999812151,8.69729E-07
0.021652197,0.999812151,8.76542E-07
0.021677393,0.999812151,8.83003E-07
0.02170266,0.999812151,8.89688E-07
0.021727974,0.999812151,8.96324E-07
0.021753346,0.999812151,9.02966E-07
0.021778194,0.999785316,9.09681E-07
0.021803698,0.999785316,9.1661E-07
0.021829261,0.999785316,9.23382E-07
0.021854872,0.999785316,9.30624E-07
0.021880543,0.999785316,9.37234E-07
0.021906274,0.999785316,9.44381E-07
0.021932066,0.999785316,9.51548E-07
0.021957931,0.999785316,9.58576E-07
0.021983845,0.999785316,9.65673E-07
0.02200982,0.999785316,9.73238E-07
0.022035856,0.999785316,9.80673E-07
0.022061954,0.999785316,9.8804E-07
0.022088114,0.999785316,9.95509E-07
0.022114336,0.999785316,1.00304E-06
0.022140621,0.999785316,1.01066E-06
0.022166967,0.999785316,1.01817E-06
0.022193377,0.999785316,1.02544E-06
0.02221985,0.999785316,1.03294E-06
0.022246386,0.999785316,1.04081E-06
0.022272985,0.999785316,1.0483E-06
0.022299648,0.999785316,1.05606E-06
0.022326375,0.999785316,1.06398E-06
0.022353166,0.999785316,1.0719E-06
0.022380022,0.999785316,1.07965E-06
0.022406942,0.999785316,1.08763E-06
0.022433927,0.999785316,1.09531E-06
0.022460977,0.999785316,1.10333E-06
0.022488092,0.999785316,1.11142E-06
0.022515273,0.999785316,1.11999E-06
0.02254252,0.999785316,1.12789E-06
0.022569833,0.999785316,1.13647E-06
0.022597211,0.999785316,1.14476E-06
0.022624657,0.999785316,1.15359E-06
0.022652169,0.999785316,1.16211E-06
0.022679748,0.999785316,1.17056E-06
0.022707395,0.999785316,1.17919E-06
0.022735109,0.999785316,1.1878E-06
0.02276289,0.999785316,1.19618E-06
0.02279074,0.999785316,1.20478E-06
0.022818658,0.999785316,1.21368E-06
0.022846644,0.999785316,1.22268E-06
0.022874699,0.999785316,1.23151E-06
0.022902209,0.99975848,1.24042E-06
0.022930401,0.99975848,1.24956E-06
0.022958663,0.99975848,1.25849E-06
0.022986995,0.99975848,1.26794E-06
0.023015397,0.99975848,1.27722E-06
0.023043869,0.99975848,1.28658E-06
0.023072412,0.99975848,1.29528E-06
0.023101025,0.99975848,1.30444E-06
0.02312971,0.99975848,1.31371E-06
0.023158465,0.99975848,1.32314E-06
0.023187293,0.99975848,1.33292E-06
0.023216192,0.99975848,1.34239E-06
0.023245163,0.99975848,1.35172E-06
0.023274207,0.99975848,1.36146E-06
0.023303324,0.99975848,1.37089E-06
0.023332513,0.99975848,1.38071E-06
0.023361775,0.99975848,1.39028E-06
0.023391112,0.99975848,1.40024E-06
0.023420521,0.99975848,1.41016E-06
0.023450005,0.99975848,1.42021E-06
0.023479564,0.99975848,1.43072E-06
0.023509196,0.99975848,1.44058E-06
0.023538904,0.99975848,1.45066E-06
0.023568687,0.99975848,1.46108E-06
0.023598545,0.99975848,1.47158E-06
0.02362848,0.99975848,1.482E-06
0.02365849,0.99975848,1.49252E-06
0.023688576,0.99975848,1.50339E-06
0.023718739,0.99975848,1.51384E-06
0.023748979,0.99975848,1.52467E-06
0.023779296,0.99975848,1.53517E-06
0.023809691,0.99975848,1.54631E-06
0.023840164,0.99975848,1.55745E-06
0.023870714,0.99975848,1.5684E-06
0.023901343,0.99975848,1.57939E-06
0.023932051,0.99975848,1.59035E-06
0.023962838,0.99975848,1.60169E-06
0.023993704,0.99975848,1.61316E-06
0.02402465,0.99975848,1.62457E-06
0.024055675,0.99975848,1.63561E-06
0.024086797,0.99975848,1.64714E-06
0.024117983,0.99975848,1.6589E-06
0.02414925,0.99975848,1.67034E-06
0.024180599,0.99975848,1.68207E-06
0.024212044,0.99975848,1.69348E-06
0.024243556,0.99975848,1.70545E-06
0.02427515,0.99975848,1.71741E-06
0.024306174,0.999731644,1.72941E-06
0.024337932,0.999731644,1.74174E-06
0.024369774,0.999731644,1.75338E-06
0.024401699,0.999731644,1.76574E-06
0.024433707,0.999731644,1.77853E-06
0.0244658,0.999731644,1.7911E-06
0.024497977,0.999731644,1.80385E-06
0.024530239,0.999731644,1.81605E-06
0.024562586,0.999731644,1.82851E-06
0.024595018,0.999731644,1.84086E-06
0.024627552,0.999731644,1.85373E-06
0.024660157,0.999731644,1.86647E-06
0.024692847,0.999731644,1.8791E-06
0.024725625,0.999731644,1.89214E-06
0.024758489,0.999731644,1.90458E-06
0.024791442,0.999731644,1.91777E-06
0.024824481,0.999731644,1.93114E-06
0.02485761,0.999731644,1.94373E-06
0.024890826,0.999731644,1.95705E-06
0.024924132,0.999731644,1.97036E-06
0.024957527,0.999731644,1.98475E-06
0.024991011,0.999731644,1.99855E-06
0.025024585,0.999731644,2.01217E-06
0.02505825,0.999731644,2.02569E-06
0.025092005,0.999731644,2.03939E-06
0.025125852,0.999731644,2.05318E-06
0.02515979,0.999731644,2.06705E-06
0.025193819,0.999731644,2.08116E-06
0.025227941,0.999731644,2.09524E-06
0.025262156,0.999731644,2.10964E-06
0.025296463,0.999731644,2.12414E-06
0.025330864,0.999731644,2.13875E-06
0.025365375,0.999731644,2.15368E-06
0.025399964,0.999731644,2.16824E-06
0.025434647,0.999731644,2.18302E-06
0.025469425,0.999731644,2.19755E-06
0.025504298,0.999731644,2.21178E-06
0.025539266,0.999731644,2.22759E-06
0.025574331,0.999731644,2.24319E-06
