Precision,Recall,Threshold
0.015384615,1,0
0.258198858,0.983281451,0.0625
0.373190142,0.961437312,0.125
0.498891799,0.930227565,0.1875
0.590900162,0.888015243,0.25
0.678587004,0.83512237,0.3125
0.744704944,0.776540361,0.375
0.801635805,0.707519322,0.4375
0.8480401,0.63109167,0.5
0.883964441,0.555039717,0.5625
0.910259747,0.469273293,0.625
0.934597776,0.383480034,0.6875
0.951895774,0.305871619,0.75
0.96582842,0.215408974,0.8125
0.974820144,0.138176256,0.875
0.982081323,0.076481322,0.9375
0.992882562,0.029948476,1
1,0,
