Precision,Recall,Threshold
0.01869997,0.999973164,0.000184071
0.018718757,0.999973164,0.000184555
0.018737583,0.999973164,0.000185052
0.018756446,0.999973164,0.000185548
0.018775347,0.999973164,0.000186035
0.018794287,0.999973164,0.000186525
0.018813264,0.999973164,0.000186993
0.01883228,0.999973164,0.000187468
0.018851335,0.999973164,0.000187951
0.018870428,0.999973164,0.000188443
0.01888956,0.999973164,0.000188921
0.01890873,0.999973164,0.000189425
0.01892794,0.999973164,0.000189896
0.018947189,0.999973164,0.000190386
0.018966476,0.999973164,0.000190866
0.018985804,0.999973164,0.000191367
0.01900517,0.999973164,0.000191854
0.019024576,0.999973164,0.000192323
0.019044022,0.999973164,0.000192782
0.019063508,0.999973164,0.00019326
0.019083033,0.999973164,0.000193733
0.019102599,0.999973164,0.000194225
0.019122204,0.999973164,0.000194696
0.01914185,0.999973164,0.000195181
0.019161537,0.999973164,0.000195659
0.019181264,0.999973164,0.000196146
0.019201031,0.999973164,0.000196615
0.01922084,0.999973164,0.000197105
0.019240689,0.999973164,0.000197598
0.019260579,0.999973164,0.000198073
0.019280511,0.999973164,0.000198568
0.019300484,0.999973164,0.000199064
0.019320498,0.999973164,0.000199538
0.019340554,0.999973164,0.000200033
0.019360651,0.999973164,0.000200522
0.01938079,0.999973164,0.000200989
0.019400972,0.999973164,0.000201468
0.019421195,0.999973164,0.000201968
0.01944146,0.999973164,0.000202454
0.019461768,0.999973164,0.000202961
0.019482119,0.999973164,0.000203465
0.019502511,0.999973164,0.000203935
0.019522947,0.999973164,0.00020442
0.019543426,0.999973164,0.000204892
0.019563947,0.999973164,0.000205358
0.019583986,0.999946329,0.000205837
0.019604594,0.999946329,0.000206318
0.019625244,0.999946329,0.000206822
0.019645939,0.999946329,0.000207282
0.019666677,0.999946329,0.000207757
0.019687459,0.999946329,0.000208243
0.019708284,0.999946329,0.000208731
0.019729154,0.999946329,0.000209223
0.019750069,0.999946329,0.000209709
0.019771027,0.999946329,0.000210198
0.01979203,0.999946329,0.000210703
0.019813078,0.999946329,0.000211202
0.019834171,0.999946329,0.000211683
0.019855308,0.999946329,0.000212162
0.019876491,0.999946329,0.000212639
0.019897719,0.999946329,0.000213124
0.019918992,0.999946329,0.000213608
0.019940311,0.999946329,0.000214104
0.019961675,0.999946329,0.000214585
0.019983086,0.999946329,0.000215069
0.020004542,0.999946329,0.000215558
0.020026044,0.999946329,0.00021605
0.020047593,0.999946329,0.000216535
0.020069188,0.999946329,0.000217026
0.02009083,0.999946329,0.000217523
0.020112518,0.999946329,0.00021803
0.020134254,0.999946329,0.000218524
